timestamp,product_id,sales_volume,stock_level,promo_flag,holiday_flag,foot_traffic,hour,day_of_week,sales_lag_1h,sales_lag_24h,sales_lag_7d,sales_roll_3h,stock_lag_1h,weather_Cold,weather_Rainy,weather_Snowy,weather_Sunny,category_Cleaning,category_Dairy,category_Fresh Produce,category_Snacks
2025-01-08 00:00:00,P001,0,202,0,0,36,0,2,1.0,1.0,4.0,1.3333333333333333,199.0,0,0,0,0,0,0,1,0
2025-01-08 01:00:00,P001,1,201,0,0,59,1,2,0.0,0.0,2.0,0.6666666666666666,202.0,0,0,0,0,0,0,1,0
2025-01-08 02:00:00,P001,0,202,0,0,42,2,2,1.0,2.0,0.0,0.6666666666666666,201.0,0,0,0,1,0,0,1,0
2025-01-08 03:00:00,P001,0,203,0,0,43,3,2,0.0,0.0,2.0,0.3333333333333333,202.0,0,0,0,1,0,0,1,0
2025-01-08 04:00:00,P001,0,204,0,0,45,4,2,0.0,3.0,3.0,0.3333333333333333,203.0,0,0,1,0,0,0,1,0
2025-01-08 05:00:00,P001,1,202,0,0,37,5,2,0.0,2.0,0.0,0.0,204.0,0,1,0,0,0,0,1,0
2025-01-08 06:00:00,P001,0,201,0,0,39,6,2,1.0,2.0,0.0,0.3333333333333333,202.0,0,1,0,0,0,0,1,0
2025-01-08 07:00:00,P001,1,203,0,0,58,7,2,0.0,1.0,1.0,0.3333333333333333,201.0,0,0,0,0,0,0,1,0
2025-01-08 08:00:00,P001,1,203,0,0,64,8,2,1.0,1.0,1.0,0.6666666666666666,203.0,0,1,0,0,0,0,1,0
2025-01-08 09:00:00,P001,0,201,0,0,47,9,2,1.0,0.0,0.0,0.6666666666666666,203.0,1,0,0,0,0,0,1,0
2025-01-08 10:00:00,P001,0,204,0,0,48,10,2,0.0,3.0,0.0,0.6666666666666666,201.0,0,1,0,0,0,0,1,0
2025-01-08 11:00:00,P001,1,202,0,0,45,11,2,0.0,0.0,3.0,0.3333333333333333,204.0,1,0,0,0,0,0,1,0
2025-01-08 12:00:00,P001,2,201,0,0,100,12,2,1.0,0.0,1.0,0.3333333333333333,202.0,0,0,0,1,0,0,1,0
2025-01-08 13:00:00,P001,2,202,0,0,54,13,2,2.0,0.0,1.0,1.0,201.0,0,1,0,0,0,0,1,0
2025-01-08 14:00:00,P001,2,201,0,0,49,14,2,2.0,1.0,0.0,1.6666666666666667,202.0,1,0,0,0,0,0,1,0
2025-01-08 15:00:00,P001,1,199,0,0,61,15,2,2.0,1.0,2.0,2.0,201.0,0,0,0,0,0,0,1,0
2025-01-08 16:00:00,P001,0,203,0,0,54,16,2,1.0,3.0,0.0,1.6666666666666667,199.0,0,0,0,0,0,0,1,0
2025-01-08 17:00:00,P001,1,203,0,0,59,17,2,0.0,2.0,0.0,1.0,203.0,0,0,0,1,0,0,1,0
